Banjara,English
Manager meeting ma chhe.,The manager is in a meeting.
Hu mail check karu chhu.,I am checking emails.
Kaam time par puro karvo chhe.,The work needs to be finished on time.
Team saath kaam kare chhe.,The team works together.
Hu file taiyar karu chhu.,I am preparing the file.
Office ma shanti chhe.,There is calm in the office.
Hu colleague sathe vaat karu chhu.,I am talking with a colleague.
Aaj meeting chhe.,There is a meeting today.
Hu computer par kaam karu chhu.,I am working on the computer.
Kaam samajh aave chhe.,The work is understandable.
Hu madad mangto chhu.,I am asking for help.
Office ma sab log vyast chhe.,Everyone in the office is busy.
Hu break ma chai pivu chhu.,I am drinking tea during the break.
Kaam quality sari chhe.,The work quality is good.
Hu kaam complete karu chhu.,I am completing the work.
Hu khet ma kaam karu chhu.,I am working in the field.
Aaj kaam vadhu chhe.,There is more work today.
Mitthi bhari chhe.,The soil is heavy.
Pani ochhu chhe.,There is less water.
Suraj tej chhe.,The sun is strong.
Ame savere kaam sharu karyu.,We started work in the morning.
Thodo aaram joiye chhe.,Some rest is needed.
Khet sari rite taiyar chhe.,The field is well prepared.
Beej vavya jaa rahya chhe.,Seeds are being sown.
Pani aapvu jaruri chhe.,Watering is necessary.
Ame saath kaam kari rahya chhe.,We are working together.
Haath thaki gaya chhe.,Hands are tired.
Kaam dhire chalu chhe.,The work is going slowly.
Aaj hava sari chhe.,The weather is good today.
Ame kaam puru kari rahya chhe.,We are finishing the work.
Khet ma shanti chhe.,There is calm in the field.
Kaam sari rite thai rahyu chhe.,The work is going well.
Ame saanje ghare jaasu.,We will go home in the evening.
Hu business karu chhu.,I do business.
Aaj business sari rite chalu chhe.,The business is running well today.
Grahak vaat karva aave chhe.,Customers are coming to talk.
Sauda pakka thayo chhe.,The deal is confirmed.
Maal taiyar chhe.,The goods are ready.
Bhav samjhavya jaa rahya chhe.,Prices are being explained.
Grahak santusht chhe.,The customer is satisfied.
Delivery taiyar chhe.,The delivery is ready.
Vyapar ma bharoso jaruri chhe.,Trust is important in business.
Navo order malyo chhe.,A new order has been received.
Profit sari rite malto chhe.,Profit is coming well.
Loss nathi thato.,There is no loss.
Market ma demand chhe.,There is demand in the market.
Supplier sathe vaat chalu chhe.,Talks with the supplier are going on.
Payment time par male chhe.,Payment is received on time.
Business dhire dhire vadhe chhe.,The business is growing slowly.
Grahak sathe sambandh majboot chhe.,Relations with customers are strong.
Aaj meeting sari rahi.,Today’s meeting went well.
Grahak dukaan ma aave chhe.,The customer comes to the shop.
Seller grahak ne aavkar aape chhe.,The seller welcomes the customer.
Grahak maal joye chhe.,The customer looks at the goods.
Seller maal batave chhe.,The seller shows the goods.
Grahak bhav puchhe chhe.,The customer asks the price.
Seller bhav samjhave chhe.,The seller explains the price.
Grahak sauda karva ichchhe chhe.,The customer wants to make a deal.
Seller sauda pakka kare chhe.,The seller confirms the deal.
Grahak maal pasand kare chhe.,The customer likes the goods.
Seller quality batave chhe.,The seller shows the quality.
Grahak discount maange chhe.,The customer asks for a discount.
Seller thodu discount aape chhe.,The seller gives some discount.
Grahak kharidi kare chhe.,The customer makes a purchase.
Seller bill taiyar kare chhe.,The seller prepares the bill.
Grahak payment kare chhe.,The customer makes the payment.
Seller payment swikare chhe.,The seller accepts the payment.
Grahak santusht chhe.,The customer is satisfied.
Seller grahak ne aabhar maane chhe.,The seller thanks the customer.
Hu mara mitar sathe vaat karu chhu.,I am talking with my friend.
Mitarta majboot chhe.,The friendship is strong.
Hu mara mitar par bharoso karu chhu.,I trust my friend.
Mitar madad kare chhe.,A friend helps.
Ame saath hasya kariye chhe.,We laugh together.
Mitar mane samjhe chhe.,My friend understands me.
Ame saath samay bitaviye chhe.,We spend time together.
Mitarta ma sachchai chhe.,There is honesty in friendship.
Mitar dukkh ma saath aape chhe.,A friend supports in sorrow.
Ame saath kaam kariye chhe.,We work together.
Mitar mane protsahan aape chhe.,My friend encourages me.
Ame saath sapna joye chhe.,We share dreams together.
Mitarta ma vishwas chhe.,There is trust in friendship.
Mitar sathe vaat kari saru lage chhe.,Talking with a friend feels good.
Ame ek‑bijane sammaan aapiye chhe.,We respect each other.
Mitarta jivan ne saral banave chhe.,Friendship makes life easier.
Mitar hamesha saath rahe chhe.,A friend always stays with you.
Mitarta thi khushi male chhe.,Happiness comes from friendship.
Hu khush chhu.,I am happy.
Mane santosh chhe.,I feel content.
Hu dukhi chhu.,I am sad.
Mane ghabrahat chhe.,I feel nervous.
Hu shant chhu.,I am calm.
Mane gussa aave chhe.,I feel angry.
Hu utsahit chhu.,I am excited.
Mane bhay lage chhe.,I feel fear.
Hu nishchint chhu.,I am relaxed.
Mane aasha chhe.,I feel hopeful.
Hu thakyo chhu.,I am tired.
Mane rahat male chhe.,I feel relief.
Hu garv anubhav karu chhu.,I feel proud.
Mane prem lage chhe.,I feel love.
Hu akelo mehsoos karu chhu.,I feel lonely.
Mane anand aave chhe.,I feel joy.
Hu nirash chhu.,I feel disappointed.
Mane vishwas chhe.,I feel confident.
Doctor hospital ma chhe.,The doctor is in the hospital.
Patient bed par chhe.,The patient is on the bed.
Nurse madad kare chhe.,The nurse is helping.
Hu doctor ne milu chhu.,I am meeting the doctor.
Dawai taiyar chhe.,The medicine is ready.
Patient ne aaram joiye chhe.,The patient needs rest.
Hospital ma shanti chhe.,There is calm in the hospital.
Hu report joye chhu.,I am checking the report.
Doctor salah aape chhe.,The doctor gives advice.
Patient sari rite mehsoos kare chhe.,The patient feels better.
Nurse patient ne sambhale chhe.,The nurse takes care of the patient.
Hospital saaf chhe.,The hospital is clean.
Hu wait karu chhu.,I am waiting.
Patient ne dawai male chhe.,The patient gets medicine.
Doctor patient ne samjhave chhe.,The doctor explains to the patient.
Hospital ma vyavastha sari chhe.,The hospital management is good.
Patient ne sahay male chhe.,The patient receives support.
Doctor patient ne joye chhe.,The doctor checks the patient.
Patient doctor ne sambhale chhe.,The patient listens to the doctor.
Doctor salah aape chhe.,The doctor gives advice.
Patient potani samasya batave chhe.,The patient explains the problem.
Doctor patient ne samjhave chhe.,The doctor explains to the patient.
Patient aaram kare chhe.,The patient takes rest.
Doctor dawai batave chhe.,The doctor prescribes medicine.
Patient dawai le chhe.,The patient takes medicine.
Doctor patient ni care kare chhe.,The doctor takes care of the patient.
Patient behtar mehsoos kare chhe.,The patient feels better.
Doctor report joye chhe.,The doctor checks the report.
Patient hospital ma chhe.,The patient is in the hospital.
Doctor patient ne protsahan aape chhe.,The doctor encourages the patient.
Patient doctor par bharoso kare chhe.,The patient trusts the doctor.
Doctor shant rite samjhave chhe.,The doctor explains calmly.
Patient ni tabiyat sudhare chhe.,The patient’s health improves.
Doctor patient sathe namrata thi bole chhe.,The doctor speaks politely to the patient.
Patient doctor ni salah mane chhe.,The patient follows the doctor’s advice.
Hospital ma kon kaam kare chhe?,Who works in the hospital?
Patient ne kon joye chhe?,Who checks the patient?
Dawai kon aape chhe?,Who gives the medicine?
Patient ni sambhal kon rakhe chhe?,Who takes care of the patient?
Report kon joye chhe?,Who checks the report?
Patient ne kon samjhave chhe?,Who explains to the patient?
Doctor kya chhe?,Where is the doctor?
Patient kya chhe?,Where is the patient?
Dawai kya male chhe?,Where do we get medicine?
Hospital kya chhe?,Where is the hospital?
Nurse kya kaam kare chhe?,Where does the nurse work?
Report kya rakhi chhe?,Where is the report kept?
Machhuara samundar ma nathi jata.,Fishermen do not go to the sea.
Ghar ne nuksan thaye chhe.,Houses get damaged.
Vruksho padya chhe.,Trees fall down.
Bijli puravtho band thaye chhe.,Power supply stops.
Bachav team madad kare chhe.,Rescue teams help.
Pani bharai jaye chhe.,Water gets flooded.
Rasta band thai jaye chhe.,Roads get blocked.
Lokone savdhan rehvu pade chhe.,People need to stay alert.
Toofan pachi shanti aave chhe.,Calm comes after the cyclone.
Sahayata camp khulya chhe.,Relief camps open.
Bimari no jokham vadhe chhe.,The risk of disease increases.
Safai kaam chalu chhe.,Cleaning work is going on.
Jivan dheere dheere normal thaye chhe.,Life slowly becomes normal.
Toofan samundar ma bane chhe.,A cyclone forms in the sea.
Tez pavan chale chhe.,Strong winds blow.
Jor thi varshad pade chhe.,Heavy rain falls.
Log surakshit jagya ma jaye chhe.,People go to safe places.
Sarkar chetavni aape chhe.,The government gives a warning
,
